Start,End,Excerpt Copy,Codes Applied Combined,Math artefact 1,Math artefact 2,Math artefact 3,Math artefact 4,Meta Label
52024,53447,"Consider just the sequence of points on the line, without encoding their distance:
write “j” if you have a jump, “m” if there is a point of M, and “x” if there is both a jump and a point of M (situation which we want to avoid), and forget about the other points for the moment.

Suppose we start from a grasshopper trajectory, represented by a string of j, m, and x. We want to permute the jump lengths in order to cancel as many “x” as possible, since our aim is a string of just “j” and “m”. We can suppose that our string starts well, i.e. not with a “x” (I’m not sure this helps).

Sometimes it is useful to exchange two successive jumps in order to diminish the number of “x”, i.e. to make changes like:
[ jxj ]–>[ jmjj ] or [ jjmj ]
[ jxx ]–>[ jmjx ] or [ jjmx ]
[ xxx ]–>[ xmjx ] or [ xjmx ]
This corresponds to the original problem in case n=2.

Still we can’t deal with sequences of the form [ jmx ] or [xmj ]. We know however from 18 (the case n=3) that strings with 4 jumps and only 2 points of M (besides perhaps the extrema), like [ jxxj ], [ xxxj ] or [ jxmjx ], can also be solved, i.e. transformed in strings that outside the extrema have only “j” and “m” (call “zero” on the first jump point, and call “a”,”b”, “c” the jump sizes to see the isomorphism with case n=3).

In this way, having solved the problem in in case n=N-1 and less, one has many manipulations of the “x-j-m” string for free. Is it true?",arbitrary abstract eg,,,,,egbotdo
53436,53447,Is it true?,question,,,,,egbotdont
53508,53558,Clarifying/following up on my earlier comment(76):,previous comment by the same contributor,,,,,egbotdont
53559,54175,"Hypothesis: Lets assume that for every n and every path (i.e. partial sums), there is atleast one point (say, k’th partial sum) which is equal to a value in M (say M_k, where the values in M are sorted in ascending order).
Now consider the set of k partial sums, where the last partial sum is M_k due to the assumption above. Now, if we consider the k-1 a_i’s (say, {b_1, b_2,…, b_k}) and {M_1, M_2, …, M_k-1}, this is exactly the same problem as above, but of size k-1. The size of the problem always decreases by atleast 1, so we should be able to disprove the hypothesis if we can show it for a problem of size 1?",proof strategy,,,,,egbotdont
54238,54253,It surprises me,emotion or value words,,,,,egbotdont
54238,54725,"It surprises me that no one has mentioned the word “tree”! For the numbers {3, 5, 7, 10} I provide a tree of trunk 3+5+7+10 with its branches ordered in a special as well as obvious manner that should allow the grasshopper to move backwards … and someone here ‘formalize’ my example into a solution, I hope!

[There are n distinct 1-branches against n-1 undesirable choices, so the first step backwards is possible; now how many wrong 2-branches can be given the said ordering, etc etc.]",re-representation,,,,,egbotdont
54784,54840,There seems to be an important symmetry in this problem.,concept,,,,,egbotdont
54841,55017,It doesn’t matter whether you start on 0 and travel to s via a sequence of partial sums or whether you start on s and travel backwards by subtracting sequences of partial sums.,sub-conjecture,,,,,egbotdont
55018,55122,For this reason I think it might be beneficial to associate 2 values to each a_i (both a_i and s – a_i).,re-representation,,,,,egbotdont
55184,55263,I actually do think there might be value in looking at both a_i and at s – a_i.,by content,,,,,egbotdont
55264,56073,"Consider ordering both the a_i’s and the landmines (call them m_1, …, m_{n-1}) in increasing order. If s - a_n is in M but is *not* the largest mine m_{n-1}, then we know there are at most n-3 mines between 0 and s - a_n - a_i for some element a_i. Using an inductive hypothesis, we could argue that we must therefore be able to reach s – a_i or s – a_n – a_i successfully.

Otherwise, we could look at the case where both the largest element and the largest landmine are not used. In this case, we again use an inductive hypothesis (sort of). If we don’t reach m_{n-1} in these n-1 hops, we add back on a_n and we are done. If we do reach it, say on the i-th hop, then we can try to use a_n instead for that hop (so in essence swap the a_j used for the i-th hop with the last hop in the full n-hop sequence).",induction,,,,,egbotdont
56075,56105,"Does any of that make sense?
","question, humble",,,,,egbotdont
56177,56228,Let me redo my previous post and make some changes:,introducing your comment,,,,,egbotdont
56229,57394,"If you have proved this for n you should be able to get if for n+1. Take each n subset of the n+1 set and use the result for n then you will get a set of sums that can only be blocked at the nth sum since the n+1 sum is already blocked by hypothesis the nth sum must be removed.
Here the we may have n+1 blocking elements and the above is not true
However this can be fixed because if we have n+1 elements blocking the n set and its sums then then we have no elements left to block the one remaining element and we can easily get the desired sums by taking that element and the sums contianing it now we can continue as before and we must remove the n set.

However it must be removed for every n subset of the n+1 elements then but that means we must remove every n sum. However since every n sum can be represented by subtracting an element from the sum of all n+1 elements and each of the n+1 elements are different then the n sums must be n+1 different elements and we must bloc all of them with M but M has only n elements so we are done with the induction. The theorem is true for 1 trivially and we ought to be able to use that for the base of the induction.",induction,,,,,egbotdont
57460,57528,"Kristal– You’re idea sounds good, but I don’t completely follow it. ",by name,,,,,egbotdont
57528,57653,"When you remove an element of A in the inductive step, what do you take for your set M? It needs to have less element, right?","question, induction",,,,,egbotdont
57711,57826,this idea seems too simple. but i want to give it a try. i can see what is wrong with this. may be some of you can.,here's something that should be wrong,,,,,egbotdont
57828,57886,the worst places to put the mines are at the partial sums.,sub-conjecture,,,,,egbotdont
57887,58307,"i will look at the
case n = 4. we put the origin at the top of a tree and next level we put
4 partial sums a1 to a4. next level you put the six partial sums a1+a2,…
now you block the vertices where the mines are. there is at most three
of them. but the total number of paths is (4c1)(4c2)(4c1). if i use the fact
(4ck) > 3 for any k = 1, 2, 3 you still end up with more than one path from
the top to s = a1+a2 + a3 + a4.",simple case supporting subconjecture,,,,,egbotdo
58376,58613,"Suppose L = \{2,4,6,8,9,10, 11 \}. Here, n =7. Also the sum is 50. Now suppose M = \{2,4,6,8,9,10 \}. In this case, the grasshopper can just go 11 units forward. So what about the set M not containing the sum, makes the problem solvable?","are they necessary?, supporting example",,,,,egbotdo
58681,58722,A slightly different take on the problem:,introducing your comment,,,,,egbotdont
58723,58740,Is it even in NP?,question,,,,,egbotdont
58741,58877,"That is, given numbers a_1,a_2 \ldots a_n, is there a short witness that for all possible choices of M there exists a path the avoids M.","question, what I mean is...",,,,,egbotdont
58878,58935,Someone suggested an approach similar to Menger’s theorem,by content,,,,,egbotdont
58936,58994," that we could show n disjoint paths, but that is not true",sub-conjecture,,,,,egbotdont
58996,59039,"Can be seen easily for the instance{1,2,3}.",to a local conjecture,,,,,egbotdo
59100,59126,I’m trying to follow 85 90,by number,,,,,egbotdont
59619,59770,So is there some reason that at least one of these roughly N*(N-1) partial solutions of A’ and M’ can always be extended to a full solution of A and M?,question,,,,,egbotdont
59127,59618," I have my set A of size N and my set M of size N-1, and I want to use inductive solutions of subsets of A and M to build a solution to A and M. There are N subsets A’ of A with size N-1, and there are N-1 subsets M’ of M with size N-2; for each of these N*(N-1) combinations I can use the inductive solution to get a path through A’ that hits at most one mine in M. Well, maybe a bit fewer than N*(N-1) because I can’t get a partial solution when an element in M’ is equal to the sum of A’.",induction,,,,,egbotdont
59830,59834,Yeah,informal,,,,,egbotdont
59836,59918,I was trying to put together something along the lines of what Kristal says in 85.,"by number, by name",,,,,egbotdont
59919,60435,"Suppose you’re trying to find a good ordering of a_1, … a_n. Choose a j such that (sum a_i) – a_j isn’t in M. By induction you know that you can order the (n-1) integers a_1, … a_{j-1},a_{j+1},…a_n so that the partial sums avoid m_1, …. m_{n-2}. But then you can stick a_j at the end and you’ve jumped all the way to sum a_i which isn’t a landmine by assumption. This is obviously too easy to be correct but in the spirit of the project I’ll just leave it here as a paraphrase of Kristal to see what’s wrong with it.",here's something that should be wrong,,,,,egbotdont
60506,60512,@91 96,by number,,,,,egbotdont
60514,60665,"this is wrong since m_{n-1} could be smaller than (sum a_i) – a_j
in which case you still have n-1 obstacles, but with only n-1 steps to get over them.","here is a mistake in your reasoning, to a local conjecture",,,,,egbotdo
60724,60738,oh yeah gotcha,informal,,,,,egbotdont
60805,60866,Here’s a slightly different set up for an induction argument.,introducing your comment,,,,,egbotdont
60867,61213,"Assume the result holds for |A|=n. We’ll then try to prove it for |A|=n+2. Since the cases n=1 and n=2 are trivial, this is sufficient. Clearly we can assume that every element of M is greater than a_1 and less than a_n. So remove the first and last element and switch the roles of A and M. By the induction hypothesis we can solve this problem. ",induction,,,,,egbotdont
61213,61261,So is there any kind of duality between A and M?,question,,,,,egbotdont
61335,61356,from 86 by anonymous:,"by name, by number",,,,,egbotdont
61553,61756,My new set M is all the elements that don’t contain the removed element. If there are n+1 then as noted we can take the sets containing the remaining element and easily construct the desired set of sums.,explanation,,,,,egbotdont
61830,61845,In answer to 87,by number,,,,,egbotdont
61845,62036, the solution is to start with 11 then add any other element to it then any other until all elements are used none are in M as all of M’s elements are less than 11 so we easily get a solution,hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
62105,62176,Another take on the divide and conquer approach similar to gowers’ @43:,"introducing your comment, by name, by number",,,,,egbotdont
62177,62740,"It is enough to find k jumps that takes us past k obstacles. Then we just induct on the remaining n-k jumps and n-k-1 obstacles. But there may not exist such k jumps, it could be that you always need atleast k+1 jumps to cross k obstacles all the way to the end. If this happens, then one can perhaps argue that if you start from the end and proceed backwards, then one can find such k jumps, that cross k obstacles and you are then done by induction. (Note that assuming the result to be true, there must always exist such k jumps in either of the 2 directions.)",induction,,,,,egbotdont
62818,62839,Here’s a wrong proof.,introducing your comment,,,,,egbotdont
62840,62859,proof by induction:,introducing your comment,,,,,egbotdont
62861,63190,"w.l.o.g. assume a_1 ... a_n and m_1 ... m_{n-1} is ordered. By the inductive hypothesis for a_1 ... a_{n-1} and m_1 ... m_{n-2}, there must exist some ordering, a_{\pi(1)} ... a_{\pi(n-1)}, s.t. the partial sums c_1 ... c_{n-1} do not contain any of the m_i (i m_{n-1} > m_t ( for all t).
For, l j, c'_l > c'_j > m_t (for all t).",induction,,,,,egbotdont
63192,63199,QED ???,question,,,,,egbotdont
63366,63398,Can we repair this proof though?,question,,,,,egbotdont
63399,63460,Maybe splitting into a case analysis involving the condition?,question,,,,,egbotdont
62818,63460,"Here’s a wrong proof.
proof by induction:

w.l.o.g. assume a_1 ... a_n and m_1 ... m_{n-1} is ordered. By the inductive hypothesis for a_1 ... a_{n-1} and m_1 ... m_{n-2}, there must exist some ordering, a_{\pi(1)} ... a_{\pi(n-1)}, s.t. the partial sums c_1 ... c_{n-1} do not contain any of the m_i (i m_{n-1} > m_t ( for all t).
For, l j, c'_l > c'_j > m_t (for all t).

QED ???

The reason this is wrong that to actually use the induction hypothesis, we need to assume that a_1+ \ldots + a_{n-1} is not in M, which of course might not be true. Can we repair this proof though? Maybe splitting into a case analysis involving the condition?",here's something I know is wrong,,,,,egbotdont
63534,63541,from 94,by number,,,,,egbotdont
63616,64015,This is wrong. My new M would be all set that match sums of the n subset of the n+1 set if n of them matched then I would a problem because I would not free up the remaining elements of that are sums containing the excluded element because some of the sums with the excluded element might match some of the sums without it. This will have to be fixed somehow if the idea from 85 can be made to work.,here is a mistake in your reasoning,,,,,egbotdont
64084,64128,Do the same inductive step as proposed by 91,by number,,,,,egbotdont
64624,64653,Am I making any mistake here?,question,,,,,egbotdont
64084,64622,"Do the same inductive step as proposed by 91, remove m_{n-1} and some a_j such that (sum a_i) – a_j isn’t in M. But now try to find k jumps from the beginning that jump over k obstacles. if you don’t find any such k, then consider the last jump, that is (n-1)st. this jump must start before m_{n-2}, since otherwise we would have had n-2 jumps that cross n-2 obstacles.
now note that this could not have landed at m_{n-1}, since it has to be equal to (sum a_i) – a_j. So appending a_j to this sequence avoids m_{n-1} also and we are done.",proof strategy,,,,,egbotdont
64723,64784,Here is an approach which is a bit different from the others.,introducing your comment,,,,,egbotdont
64784,65802," Let s = a_1 + … + a_n, with a_1 < a_2 < … < a_n and let M = { m_1 < m_2 < … < m_{n-1} }. Consider the n intervals (0, m_1), (m_1, m_2), …, (m_{n-1}, s). Since there are n of them, and the grasshopper only lands in (0,s) n-1 times, one of them must be missed (of course, more than one might be missed). Let's try to start our induction by working out which of these is to be missed. This is similar to Tim Gowers' idea above to about skipping over 2, but the extra option of skipping at the end gives us a little more freedom. For notational simplicity, set m_0=0 and m_n = s.

My first thought was that we have n intervals whose lengths add up to s, so there must be one of them whose length is less than the average of the a_i. I hoped that this was the one that should be skipped. But that isn't always true. Take A = (9, 10, 11, 30) and M = (11, 30, 49).

Still, we don't need that in order to win. All we need is to have

m_{k-1} < a_{i_1} + … a_{i_k} < m_k < m_{k+1} < a_{i_1} + … a_{i_k} +a_{i_{k+1}} < m_{k+2}.",induction,,,,,egbotdont
65804,65868,"In a few examples, it does seem that we can always achieve this.",supporting example,,,,,egbotdo
65167,65233,This is similar to Tim Gowers' idea above to about skipping over 2,"by content, by name",,,,,egbotdont
65388,65512,"we have n intervals whose lengths add up to s, so there must be one of them whose length is less than the average of the a_i",sub-conjecture,,,,,egbotdont
65514,65521,I hoped,emotion or value words,,,,,egbotdont
65568,65643,"But that isn't always true. Take A = (9, 10, 11, 30) and M = (11, 30, 49).",to a local conjecture,,,,,egbotdo
65928,66048,"Here’s a follow up to my argument above that there is a path of length 2, this time showing there is a path of length 3.",introducing your comment,,,,,egbotdont
66048,66063," Unfortunately,",emotion or value words,,,,,egbotdont
65928,67394,"Here’s a follow up to my argument above that there is a path of length 2, this time showing there is a path of length 3. Unfortunately, there seems to be a small proliferation of cases, which may mean that a proper inductive extension of this argument would either be a bit complicated, or require a better argument.

Split the a_i into b_1,b_2 so that b_1,b_1+b_2 is a path, b_1+b_2 is maximal among second terms of paths of length 2, and b_1 is maximal among initial elements of paths of length 2 with second terms of length b_1+b_2. Let c_1<c_2<…<c_{n-2} be the remaining elements.

Now suppose that b_1+b_2+c_i is in M for each i. Then this accounts for all but one element of M. Consider b_1+c_1; first, suppose b_1+c_1 is not in M. Then c_1<b_2; if also b_1+c_1+c_2 not in M, we are done. So suppose b_1+c_1+c_2 is in M. If b_2<b_1 then c_1+c_2+b_2 is also not in M, and we are done. If b_1<b_2 then b_2 is in M, which means b_2=b_1+c_1+c_2. Then c_1+b_2 cannot be in M, so c_1<b_1, and therefore again c_1+c_2+b_2<b_1+c_j+b_2 for any j other than 1 or 2, and c_1+c_2+b_2 cannot be b_1+c_j+b_2 for j either 1 or 2.

So we deal with the remaining case, where b_1+c_1 does belong to M. Then c_1 does not belong to M, and neither does c_1+b_2, so c_1<b_1. Then c_1+b_2+c_2<b_1+b_2+c_j for any j, so if c_1+b_2+c_2 is in M then it must be that b_1=b_2+c_2. Then c_2 and c_2+b_1 are in M, so c_2<b_2, so also c_2+b_1+c_1 are not in M, so this is a path of length 3.",case split,,,,,egbotdont
67461,67547,"Also, is there only one order in which the grasshopper never lands on any points in M?",question,,,,,egbotdont
67547,67596, What is M contains s = a_1 + a_2 + \cdots + a_n?,question,,,,,egbotdont
67597,67693,Would we still be able to fins an order in which the grasshopper never lands on any points in M?,question,,,,,egbotdont
67693,67742, Maybe we can use probabilities and random walks?,question,,,,,egbotdont
67810,67866,Or maybe use some type of inequality involving the mean?,question,,,,,egbotdont
67743,67809,"E.g. the probability of going a_1 units in step 1 is P_{11}, etc….",example,,,,,egbotdo
67927,67945,Meta comment first,introducing your comment,,,,,egbotdont
67948,68033,it would help immensely to have threaded comments. This is getting very hard to read!,technical issues,,,,,egbotdont
68035,68059,"Re Gowers’s 44, 63, etc:","by name, by number",,,,,egbotdont
68060,68146,Is it clear that we would want to save a_n to be the “jump over two landmines” choice?,question,,,,,egbotdont
68147,68244,Can anyone think of an example where one is required to use a_n to jump only one (or zero) mines?,"question, request for help",,,,,egbotdont
68246,68875,"It’s possible to prove that *either* there are two mines within a_n - 2 of each other or else something easy happens. For instance, if a_n is not in M then we are done by the induction mentioned earlier; similarly s-a_n should be in M.

Thus either (a) those are the smallest and largest elements of M, in which case we have n-1 elements of $M$ in [a_n, s-a_n], which is an interval of s-2a_n <= a_n + a_{n-1} + (n-2)(a_n-2) - 2a_n < (n-2)(a_n-2),
or (b) we have elements of M less than a_n (or on the other side)… but that already is within a_n -2 of a_n unless it is exactly 1, in which case the induction argument works again.","case split, induction",,,,,egbotdont
68946,68999,"I thought I posted this a bit ago, but I don’t see it",technical issues,,,,,egbotdont
69001,69893,"Let a_1 < a_2 < \ldots < a_n and let m_1 < m_2 < \ldots < m_{n-1}.

If we can find i_1, i_2, …, i_{k+1} distinct indices such that

m_{k-1} < a_{i_1} + \ldots + a_{i_k} < m_k < m_{k+1} <
< a_{i_1} + \ldots + a_{i_k} + a_{i_{k+1}} < m_{k+2}

then we win. This combines two observations above: the one about skipping over two landmines is the case where 1 \leq k \leq n-2. The possibility of starting out or ending by jumping over a land mine are the degenerate cases k=0 or k=n-1.

So, it seems like it would be good to figure out what k should be. Notice that there are n intervals (0, m_1), (m_1, m_2), …, (m_{n-1}, a_1+\ldots+a_n). So the shortest of them is shorter than a_n. I had hoped that the shortest would always be (m_{k}, m_{k+1}), but this doesn't seem to be true: consider A=(9,10,11,30) and M = (11,30,49).

Still, it does always seem to be true that we can find (m_{k-1}, m_k).",constructive,,,,,egbotdont
69450,69466,degenerate cases,emotion or value words,,,,,egbotdont
69069,69254,"If we can find i_1, i_2, …, i_{k+1} distinct indices such that

m_{k-1} < a_{i_1} + \ldots + a_{i_k} < m_k < m_{k+1} <
< a_{i_1} + \ldots + a_{i_k} + a_{i_{k+1}} < m_{k+2}

then we win.",sub-conjecture,,,,,egbotdont
69372,69480,The possibility of starting out or ending by jumping over a land mine are the degenerate cases k=0 or k=n-1.,relevant entity,,,,,egbotdo
69482,69548,"So, it seems like it would be good to figure out what k should be.",saying why what you've just said is interesting,,,,,egbotdont
69680,69821,"I had hoped that the shortest would always be (m_{k}, m_{k+1}), but this doesn't seem to be true: consider A=(9,10,11,30) and M = (11,30,49).",to a local conjecture,,,,,egbotdo
69964,70029,"My longer comments aren’t appearing, so I’ll keep this one short:",technical issues,,,,,egbotdont
70031,70245,"Take A = (9, 10, 11, 30) and M = (9, 30, 51). Then we use the long jump to only jump over one mine. Of course, this is one of the cases where we know how to reduce — when we can start by jumping over a single mine.",relevant entity,,,,,egbotdo
70309,70351,Let me try to summarize nikhil 5:09. (105),"by name, by number, introducing your comment",,,,,egbotdont
71950,72107,What happens if m_{n-1} = \sum_{k=1}^{n-2} b_k? It seems to me that the lemma does not apply in this case because the last jump (to m_{n-1}) lands on a mine.,here is a mistake in your reasoning,,,,,egbotdont
70360,70367,Post 48,by number,,,,,egbotdont
70353,70358,Lemma,introducing your comment,,,,,egbotdont
70460,70466,Proof:,introducing your comment,,,,,egbotdont
70628,70649,Proof of Main Result:,introducing your comment,,,,,egbotdont
70370,70459,Let 0< k < n. If there is ever a sequence of k jumps that cross k mines then we are done.,here's a weaker version,,,,,egbotdont
70467,70626,"If this is the case then the subset of A of elements we haven't used has size n-k and the number of mines left is n-k-1, and so the lemma follows by induction.",proof of sub-conjecture,,,,,egbotdont
70650,71582,"We see that there is a 1 \leq j \leq n such that \sum_{i=1}^{n} a_i - a_j \notin M. We set A' = A -\{a_{j}\}, and M' = M -\{m_{n-1} \} (where m_{n-1} is the largest element of M). By induction, there is a sequence of partial sums of A' that avoid M. Let \{b_i\}_{i=1}^{n-1} be the elements of A' in the order we form the partial sums. This is to say \sum_{i=1}^{l} b_i \notin M' for every 0<l<n.

Now how many elements of M' are less than \sum_{i=1}^{n-2} b_i ? By the lemma we can assume that it is at most n-3. Thus the element m_{n-1} (which we removed from M to create M') is larger than every partial sum \sum_{i=1}^{l} b_i for 0<l<n-2. So the only problem we could have by adding it back in would be if it was equal to \sum_{i=1}^{n-1} b_i . However, by construction we know that this is not an element of M.

Lastly, we add a_j back in. However, \sum_{i=1}^{n-1} b_i +a_j = \sum_{k=1}^{n} a_k, which isn't in M be assumption.",proof,,,,,egbotdont
71646,71692,It looks to me like nikhil devanur 5:09 works.,"by content, by name, meta-level comment about proof",,,,,egbotdont
71693,71727,Can anyone find a problem with it?,"what's the problem here?, question",,,,,egbotdont
71786,71820,I’ll agree that Nikhil’s 5:09 post,"by name, by content",,,,,egbotdont
71825,71832,kindly ,emotion or value words,,,,,egbotdont
71785,71884, I’ll agree that Nikhil’s 5:09 post (as kindly spelled out by someone anonymous) looks pretty good.,meta-level comment about proof,,,,,egbotdont
72171,72180,Re: 115. ,by number,,,,,egbotdont
72180,72210,That does look like a problem.,you're right,,,,,egbotdont
72271,72307,I’m very late to the party as usual.,informal,,,,,egbotdont
72309,72418,"t seems to me that this problem could be tractable by proof by contradiction, and I just had a quick thought.",,,,,,egbotdont
72308,73037,"It seems to me that this problem could be tractable by proof by contradiction, and I just had a quick thought. Assume that there is a set M for which the statement of this problem fails. There are n! possible sequences of partial sums based on the set A = {a_{1}, ... , a_{n}}. Then at least one member of M is always obtained by some partial sum in every sequence of partial sums of A. If m members of M lie in the interval (0, s), then at least one of those m members of M is obtained by partial sums in at least n!/m different partial sum sequences. I’m guessing that this might be unreasonable since, in general, n!/m \gg n, and members of A are mutually distinct, but right off hand I don’t know why, and it’s time for bed …",RAA,,,,,egbotdont
72861,72976,"I’m guessing that this might be unreasonable since, in general, n!/m \gg n, and members of A are mutually distinct,",what's the problem here?,,,,,egbotdont
72981,73037,"right off hand I don’t know why, and it’s time for bed …",informal,,,,,egbotdont
72906,72975,"since, in general, n!/m \gg n, and members of A are mutually distinct",explanation,,,,,egbotdont
73100,73149,So one approach to the problem pointed out in 115,by number,,,,,egbotdont
73100,73695,"So one approach to the problem pointed out in 115 would be to then back up to the sum \sum_{j=1}^{n-3} b_j. By considerations in 112 all of the partial sums up to this point should avoid M. There are three elements left b_{n-2}, b_{n-1} and a_j. We may assume that \sum_{j=1}^{n-3} b_j + b_{n-2} \in M.

Moreover, we could then try to add on one of the other remaining elements instead. Thus there must be collisions with M regardless of how you add these 3 remaining elements. This should imply that there are several mines between \sum_{j=1}^{n-3} b_j and \sum_{j=1}^{n} a_j (the finish line).",ammended error (others),,,,,egbotdont
73754,73774,"Come to think of it,",informal,,,,,egbotdont
73775,73802,it should be clear that 112,by number,,,,,egbotdont
73775,73873,"it should be clear that 112 can’t be quite right, because it always chooses a_j as the final step.","explanation, you're right",,,,,egbotdont
73874,74154,"But we have examples where that isn’t right (a_j was arbitrary so that sum_{i!=j}a_i was not in M), so we know that the correct solution will have to account for the fact that there may be multiple a_j which satisfy that condition, some of which may not be part of a solving path.",relevant entity,,,,,egbotdo
74221,74264,Would it helpful to consider reduced case? ,question,,,,,egbotdont
74264,74588,Suppose M is periodic with period K m_i = i*K Take j_max as maximum j such as partial sum of j elements is zero mod K. So any other partial sum including S_j_max is non zero mod K. if j_max < n we have our solution taking S_j_max as tail. If j_max = n we throw away element a_l such a_l mod K != 0 (always exist) and repeat.,"here's a weaker version, proof of sub-conjecture",,,,,egbotdont
74589,74606,Is that correct ?,question,,,,,egbotdont
74671,74707,Following up on David’s comment (#2),"by name, by number",,,,,egbotdont
74709,75094,"there’s a theorem which I believe is due to Noga Alon that says you need at least n-hyperplanes to cover all the vertices except {1,1, … , 1} of the unit hypercube {0,1}^n by hyperplanes not passing through {1,1, … , 1}. The proof is based on linear algebra (combinatorial nullstellensatz). This is probably overkill for an IMO problem and not clear how it would be directly be useful.","reference to other maths, translate the conjecture",,,,,egbotdont
75159,75233,In the case with n-1 consecutive landmines discussed by Greg Martin in 51.,"by content, by name, by number",,,,,egbotdont
75235,75376,"Suppose the landmines b+1,\ldots, b+n-1 are all reachable by the grasshopper (i.e. they are all partial sums of the sequence a_1,\ldots,a_n).",here's a weaker version,,,,,egbotdont
75376,75445, Does anybody have a simple argument to show that b is a partial sum?,"question, request for help",,,,,egbotdont
75502,75518,"@pabloless,122: ","by name, by number",,,,,egbotdont
75520,75699,"need not be a partial sum in that case. Take A={2,3,4,6}, then b=1 isn’t a partial sum, despite 2=b+1..b+n-1=4 all being partial sums. b+n isn’t a partial sum either in this case.",to a local conjecture,,,,,egbotdo
75765,75782,"You’re right, aj.",you're right,,,,,egbotdont
75784,76204,"I’ve worked out the case A = \{1,2,3,4,5\}.

Since we there are only 4 landmines, there is a residue class modulo 5 that contains no landmines.

Suppose \{5,10\} contains no obstacles. We can assume that all obstacles are between 6 and 9 because otherwise we pass an obstacle in one jump (starting at {}0, or a backwards jump starting at 15).

If it’s another residue class, it splits $1,\ldots,15$ into four intervals.",to a local conjecture,,,,,egbotdo
76204,76765,"
If there is a landmine in the first interval we jump it over in a single step and proceed by induction. Symmetricaly we solve the problem if there is a landmine in the last interval.

In the remaining case a center interval contains 2 landmines or more. In this case we can jump over that interval in two steps (again, either two forward steps starting at zero, or two backward steps starting at 15), remaining on the “safe” residue class each time. This solves the problem, by the induction argument stated several times before (for example the lemma in 112).","case split, induction",,,,,egbotdont
76680,76765,by the induction argument stated several times before (for example the lemma in 112).,"by content, by number",,,,,egbotdont
76825,76855,Here’s another induction idea.,introducing your comment,,,,,egbotdont
76857,77523,"We start with n-1 a_i‘s and n-2 m_i‘s and assume we can solve this case. Let c_l = \sum_{j=1}^{l} a_i (for 0<l<n-1) be a sequence of partial sums that solves the problem for this case. Now we are given m_{n-1} and a_n. We consider the new 'path' given by the partial sums d_l = \sum_{j=1}^{l} a_i (for 0<l<n). We only have trouble if m_{n-1} = c_r for some r < n. Now by the lemma in 112, we may assume that the number of mines less than c_{r-1} is at most r-2. Also we may assume that the number of mines greater than c_{r+1} is at most n-r-2. Thus we have at least (n-2 -r-1-n+r+2 )+1 = 3 mines between c_{r-1} and c_{r+1}, provided i did the arithmetic correctly.",induction,,,,,egbotdont
77483,77522,provided i did the arithmetic correctly,I might be wrong,,,,,egbotdont
77525,77573,That turns out less helpful than I had expected.,meta-level comment about proof,,,,,egbotdont
77651,77671,Re: 72 David Speyer:,"by name, by number, by content",,,,,egbotdont
77884,78120,I don’t think there is anything special about 1/4 and 3/4: If you zoom in this interval would be smaller and if you zoom out it would be larger. I think 1/4 and 3/4 tells us more about Mathematica’s plot-function than about the problem.,relevant entity,,,,,egbotdo
78188,78211,Nikhil’s approach @105 ,"by number, by name",,,,,egbotdont
78215,78236,its elaboration @115 ,by number,,,,,egbotdont
78236,78244,and @118,by number,,,,,egbotdont
78188,78255,Nikhil’s approach @105 and its elaboration @115 and @118 work fine.,meta-level comment about proof,,,,,egbotdont
78256,78291,I summarize them in a concise way.,introducing your comment,,,,,egbotdont
78292,78895,"Induct on n. For n=2 see post 4@Lugo and n=3 see post 18@gowers. Assume it holds for n-1. Let M be as in the statement. Set m:=\max M and S:=a_1+\cdots a_k. WLOG assume that m<S. Also, at least one of the numbers S-a_i is NOT contained in $M$, since {\rm card}(M)a_1+\cdots+a_{n-1} we are done, so assume this isn’t the case. Let k be the index so that a_1+\cdots+a_{\sigma(k)}<\max M^\prime<a_1+ cdots+a_{\sigma(k+1)}. If k=n-2 we are done again by our assumption that a_1+\cdots+a_{n-1}\notin M. So assume that $k2$ steps to avoid the two points m^\prime,m. This is certainly possible by the case n=3.",induction,,,,,egbotdont
78305,78328,For n=2 see post 4@Lugo,"by number, by name, by content",,,,,egbotdont
78333,78356,n=3 see post 18@gowers.,"by number, by name, by content",,,,,egbotdont
78897,79002,"P.S. We do not need to know the case n=3 in order for the proof to work, but it simplifies the last step.",meta-level comment about proof,,,,,egbotdont
79068,79170,An induction proof might work if we can find a stronger statement to induct on (researcher’s paradox).,meta-level comment about proof,,,,,egbotdont
79171,79384,"Since there’s a natural symmetry going from 0 to s and jumping backwards from s to 0, it would be interesting to investigate if it is possible to find a sequence of jumps avoiding all the points of M and (s – M).","here's a stronger version, saying why what you've just said is interesting",,,,,egbotdont
79385,79494,This is one way to deal with the two strong restrictions coming from the first and last jumps simultaneously.,saying why what you've just said is interesting,,,,,egbotdont
79559,79579,"Re:125, Partalopoulo","by name, by number",,,,,egbotdont
79581,79631,would you mind elaborating on your argument a bit?,"question, request for help, explanation",,,,,egbotdont
79729,79756,Here is an general thought.,introducing your comment,,,,,egbotdont
79632,79664,I’m having trouble following it.,humble,,,,,egbotdont
80213,80238,And a trivial observation,introducing your comment,,,,,egbotdont
80280,80348,"Is there an induction on s, or on s and n together, or involving A1?",question,,,,,egbotdont
